feature,coefficient,abs_coefficient
Title_Mr,-0.4025997541389768,0.4025997541389768
Sex,-0.38398843383777886,0.38398843383777886
IsLargeFamily,-0.32093233243124153,0.32093233243124153
Pclass,-0.2945274410333654,0.2945274410333654
Title_Mrs,0.2535417804100103,0.2535417804100103
HasCabin,0.22226526509221134,0.22226526509221134
Title_Miss,0.21035640947859213,0.21035640947859213
Title_Master,0.17654397319565276,0.17654397319565276
Fare,0.12619480529777027,0.12619480529777027
IsChild,0.1009313616463243,0.1009313616463243
Emb_C,0.07275328382799974,0.07275328382799974
Title_Rare,-0.0727445785862762,0.0727445785862762
Emb_S,-0.07067063167209078,0.07067063167209078
Emb_Q,0.011021381579254027,0.011021381579254027
IsAlone,-0.00912030307380228,0.00912030307380228
