feature,coefficient,abs_coefficient
FamilySize,-0.973066264055297,0.973066264055297
Pclass,-0.6430788470246254,0.6430788470246254
PT_adult_male,-0.5312277335523932,0.5312277335523932
Sex,-0.46379593788134,0.46379593788134
PT_adult_female,0.3886691543150608,0.3886691543150608
Age,-0.3616465863424052,0.3616465863424052
PT_child,0.29051629256642175,0.29051629256642175
HasCabin,0.25733289728868813,0.25733289728868813
Title_Mrs,0.20978917837101918,0.20978917837101918
FarePerPerson,0.2036607362167531,0.2036607362167531
TicketGroupSize,0.19210657014783314,0.19210657014783314
Title_Master,0.18537589511999245,0.18537589511999245
IsAlone,-0.15806202935793037,0.15806202935793037
Title_Mr,-0.1294827185352462,0.1294827185352462
Title_Miss,-0.11095137452223065,0.11095137452223065
Emb_S,-0.07730175950702182,0.07730175950702182
Emb_C,0.06975177832843511,0.06975177832843511
Fare,-0.05084800890252941,0.05084800890252941
Emb_Q,0.025737031837605354,0.025737031837605354
Title_Rare,-0.01627680682144183,0.01627680682144183
