feature,importance
PT_adult_male,0.16812040006364448
Title_Mr,0.14421824185948623
Sex,0.11315878458388955
PT_adult_female,0.09479010494659643
FarePerPerson,0.08637233624710777
Fare,0.06904047129759648
Pclass,0.06651359686398077
TicketGroupSize,0.05165761803400016
FamilySize,0.04478137644623977
Age,0.04103905276570418
HasCabin,0.03212921838782016
Title_Mrs,0.02304056224924747
Title_Miss,0.022358109635966985
Emb_S,0.00866031545580199
PT_child,0.008155439939842182
Emb_C,0.00697497226939117
IsAlone,0.00624687640980145
Title_Master,0.006011482642048138
Title_Rare,0.0035742724529101064
Emb_Q,0.0031567674489245243
