feature,importance,importance_pct
Age,812,0.2586811086333227
FarePerPerson,698,0.22236381013061485
Fare,683,0.21758521822236382
FamilySize,207,0.06594456833386429
TicketGroupSize,188,0.059891685250079645
Pclass,74,0.023574386747371775
Title_Mrs,65,0.020707231602421154
PT_adult_male,60,0.019114367633004142
HasCabin,59,0.01879579483912074
Emb_S,55,0.01752150366358713
PT_adult_female,50,0.01592863969417012
Emb_C,49,0.015610066900286716
Title_Mr,38,0.012105766167569289
Title_Master,29,0.009238611022618668
Sex,28,0.008920038228735267
Title_Miss,23,0.007327174259318254
IsAlone,11,0.003504300732717426
Title_Rare,8,0.002548582351067219
Emb_Q,2,0.0006371455877668047
PT_child,0,0.0
