feature,importance
PT_adult_male,0.36177479265159
Pclass,0.1346836640005987
FarePerPerson,0.11280763405647186
Fare,0.1110351054778671
Age,0.10752913968117102
TicketGroupSize,0.043212552089413866
FamilySize,0.031101649747800494
Title_Mr,0.024421360941201422
HasCabin,0.020889020224802695
Sex,0.019718782327149055
Emb_S,0.008888651795838485
Emb_C,0.006786423074295202
Title_Miss,0.004898902168511039
Emb_Q,0.004173132452454179
IsAlone,0.0026064855105808827
PT_adult_female,0.0020552113392416564
Title_Mrs,0.0017290095244947674
Title_Master,0.0009012708515573675
PT_child,0.0005480976869465913
Title_Rare,0.0002391143980134338
