feature,coefficient,abs_coefficient
FamilySize,-0.6558428791185464,0.6558428791185464
Pclass,-0.6302902290640798,0.6302902290640798
PT_adult_male,-0.3991906773781967,0.3991906773781967
Sex,-0.32772931360434276,0.32772931360434276
Age,-0.29578214553387083,0.29578214553387083
HasCabin,0.2910560694883843,0.2910560694883843
PT_adult_female,0.29023312399399637,0.29023312399399637
Title_Mr,-0.289816839339192,0.289816839339192
Title_Mrs,0.2881137345206521,0.2881137345206521
PT_child,0.22143471962901123,0.22143471962901123
Fare,0.20844826127766994,0.20844826127766994
Title_Master,0.18726377024868493,0.18726377024868493
FarePerPerson,-0.08764679787055624,0.08764679787055624
Emb_C,0.08740781240459254,0.08740781240459254
Emb_S,-0.0833618343052723,0.0833618343052723
IsAlone,-0.07823067723559317,0.07823067723559317
TicketGroupSize,-0.07210080303224989,0.07210080303224989
Title_Rare,-0.058741912555433276,0.058741912555433276
Title_Miss,0.032483691499400606,0.032483691499400606
Emb_Q,0.010788159406651069,0.010788159406651069
