feature,coefficient,abs_coefficient
Title_Mr,-0.369361336985339,0.369361336985339
Sex,-0.34178786486350354,0.34178786486350354
IsLargeFamily,-0.31416620959101726,0.31416620959101726
Pclass_3,-0.267458069977528,0.267458069977528
HasCabin,0.23157131254296356,0.23157131254296356
Title_Mrs,0.2219847608871726,0.2219847608871726
Sex_x_Pclass_2,-0.219749326443833,0.219749326443833
Title_Master,0.19152022981869793,0.19152022981869793
Title_Miss,0.18648686160698685,0.18648686160698685
Fare,0.13598231683121553,0.13598231683121553
Sex_x_Pclass_3,-0.11044749906555434,0.11044749906555434
Pclass_2,0.10514715255224717,0.10514715255224717
IsChild,0.10033036087883701,0.10033036087883701
Emb_S,-0.07790080081056557,0.07790080081056557
Emb_C,0.07783285614586778,0.07783285614586778
Title_Rare,-0.0653485679588513,0.0653485679588513
Emb_Q,0.015439388165373673,0.015439388165373673
IsAlone,-0.0031612966797814166,0.0031612966797814166
