feature,coefficient,abs_coefficient
Title_Mr,-0.3750774572366104,0.3750774572366104
Sex,-0.3450559383313311,0.3450559383313311
IsLargeFamily,-0.31019940704659826,0.31019940704659826
Pclass_3,-0.2410632782856957,0.2410632782856957
Title_Mrs,0.2248268503378024,0.2248268503378024
Sex_x_Pclass_2,-0.20884990736509354,0.20884990736509354
Title_Master,0.191056742601096,0.191056742601096
Title_Miss,0.19001687076113535,0.19001687076113535
Deck_DE,0.17383385083346337,0.17383385083346337
HasCabin,0.16087864123355822,0.16087864123355822
Fare,0.133518129156186,0.133518129156186
Pclass_2,0.12093117172592437,0.12093117172592437
IsChild,0.1051411887413757,0.1051411887413757
Sex_x_Pclass_3,-0.09724557887960156,0.09724557887960156
Emb_S,-0.08034030660087864,0.08034030660087864
Emb_C,0.07854439881245061,0.07854439881245061
Deck_ABC,0.07221439975231114,0.07221439975231114
Title_Rare,-0.062228039799419946,0.062228039799419946
Emb_Q,0.018325393147848347,0.018325393147848347
Deck_FG,0.0045292947603545654,0.0045292947603545654
IsAlone,0.001625409646936744,0.001625409646936744
