feature,coefficient,abs_coefficient
IsLargeFamily,-0.5796837689422352,0.5796837689422352
Title_Master,0.35711449871403783,0.35711449871403783
IsChild,0.2817095215344549,0.2817095215344549
Deck_DE,0.2608429391712209,0.2608429391712209
Title_Mr,-0.25621304625733204,0.25621304625733204
HasCabin,0.20767625812604693,0.20767625812604693
Pclass_2,-0.13653559116152644,0.13653559116152644
Emb_Q,-0.12686232440373904,0.12686232440373904
Fare,0.12027786389442127,0.12027786389442127
Emb_C,0.1151005232560828,0.1151005232560828
Deck_ABC,0.11112219093232416,0.11112219093232416
Pclass_3,-0.08977787386097495,0.08977787386097495
Title_Rare,-0.06834345870453404,0.06834345870453404
IsAlone,0.0505333844518159,0.0505333844518159
Deck_FG,-0.02797259513790542,0.02797259513790542
Emb_S,-0.023778855665790993,0.023778855665790993
