feature,coefficient,abs_coefficient
IsLargeFamily,-0.5776550824913367,0.5776550824913367
Title_Master,0.35221982069894914,0.35221982069894914
IsChild,0.2726675562910078,0.2726675562910078
Deck_DE,0.2631688249268976,0.2631688249268976
Title_Mr,-0.2516247583837659,0.2516247583837659
HasCabin,0.2234347009523074,0.2234347009523074
Pclass_2,-0.15202798882203367,0.15202798882203367
Deck_ABC,0.12912156242131928,0.12912156242131928
Emb_Q,-0.12767444689961727,0.12767444689961727
Emb_C,0.12590007817988544,0.12590007817988544
Pclass_3,-0.12130113686680488,0.12130113686680488
FareRankInClass,0.08078585917829073,0.08078585917829073
Title_Rare,-0.06920322638014825,0.06920322638014825
IsAlone,0.055668612608392745,0.055668612608392745
Emb_S,-0.03272357606225258,0.03272357606225258
Deck_FG,-0.029781812979270062,0.029781812979270062
